uploader,n,same_class_rate,same_top_class_rate,mean_classifier_confidence,mean_provided_class_probability,dominant_class
Rohanjai,67,0.47761194029850745,0.47761194029850745,0.71578956,0.4322764,ss-u
Wavewire,90,0.4777777777777778,0.8888888888888888,0.66978484,0.45923695,fx-el
cartavetrata,31,0.4838709677419355,0.6129032258064516,0.7162498,0.4667196,ss-u
Ultra-Edward,51,0.49019607843137253,0.803921568627451,0.7964182,0.44353122,ss-u
harrisonlace,26,0.5,0.8076923076923077,0.7291667,0.40254688,m-sp
Anilan,14,0.5,0.5,0.8241248,0.54560816,ss-n
SpooksJH,12,0.5,0.6666666666666666,0.8363201,0.47664273,ss-n
Brr_Brr_Mew_Effects,10,0.5,1.0,0.7165824,0.44748482,fx-h
MirandaNicolas2009,10,0.5,0.7,0.68456805,0.37479803,fx-n
SamcoSound,10,0.5,0.8,0.75762266,0.49021682,fx-o
TheLastOneOnEarth,10,0.5,0.5,0.8407075,0.4784704,ss-n
AlexisAndrews,8,0.5,1.0,0.8603161,0.4458654,fx-h
EvaMusik,8,0.5,1.0,0.5805444,0.4791033,sp-p
LoudKevin,8,0.5,1.0,0.8919664,0.54137146,m-m
MATUSTRM,8,0.5,0.5,0.84811187,0.5036011,fx-el
Melon11,8,0.5,0.625,0.77517366,0.4233502,ss-u
MortisBlack,8,0.5,0.5,0.59086066,0.31532377,ss-s
Snapper4298,8,0.5,0.5,0.82994807,0.4517408,is-p
The_25_Times,8,0.5,0.625,0.7724738,0.37657934,ss-u
namiee,8,0.5,1.0,0.94295806,0.51617986,fx-o
paisagemsonoraunila,8,0.5,0.875,0.73681664,0.41787162,ss-u
salemaudio,8,0.5,0.75,0.7482662,0.49980354,fx-h
CypressSoundscapes,6,0.5,0.8333333333333334,0.6262505,0.50810385,ss-n
Humanities_Lab,6,0.5,1.0,0.788583,0.5461089,fx-h
JORDI77RS,6,0.5,0.5,0.77907324,0.4797125,fx-n
PicassoCT,6,0.5,0.8333333333333334,0.6956883,0.2907346,sp-s
WattnotSounds,6,0.5,0.6666666666666666,0.6672218,0.37766019,ss-n
daaverali,6,0.5,0.5,0.7085884,0.37169015,is-e
iscence,6,0.5,0.5,0.7927361,0.5337975,ss-n
jonahlpayne,6,0.5,0.6666666666666666,0.90366,0.41289413,fx-h
jriches1,6,0.5,1.0,0.70007175,0.59998935,fx-o
meghanwysocki,6,0.5,0.8333333333333334,0.8468275,0.5119009,fx-h
numerocuatro,6,0.5,0.6666666666666666,0.8783736,0.47603914,ss-s
teffita,6,0.5,0.8333333333333334,0.7722449,0.46648613,fx-a
Ñado,6,0.5,0.5,0.79409695,0.41758275,ss-u
ANARKYA,4,0.5,0.75,0.7842165,0.4081909,ss-s
Am1021387,4,0.5,1.0,0.7941816,0.47370768,fx-h
ChristopherJngs,4,0.5,0.5,0.7578795,0.40645838,fx-n
DinisNakamura,4,0.5,1.0,0.58052695,0.30314836,fx-h
Iceofdoom,4,0.5,1.0,0.7452552,0.7211258,sp-s
Jim-Bretherick,4,0.5,0.5,0.41406155,0.3157772,ss-s
LakorpSound,4,0.5,0.5,0.8489579,0.4223804,m-m
Lilfoxeone,4,0.5,1.0,0.9227202,0.44546574,m-si
Lorettov,4,0.5,0.75,0.82220197,0.51706135,ss-n
Macktrey,4,0.5,1.0,0.8637473,0.5985482,m-m
Matiiuscc,4,0.5,0.5,0.89787763,0.5586485,fx-a
NoemiLotto,4,0.5,0.5,0.8804252,0.49222142,ss-n
Sarahussain374,4,0.5,0.5,0.794535,0.48820013,fx-a
Slopes.,4,0.5,0.75,0.8113424,0.51626295,fx-el
SoundEffectsForAll,4,0.5,1.0,0.4418725,0.30673432,fx-ex
Sp00kyMushr00m,4,0.5,0.5,0.7673007,0.6097732,ss-u
ViveleVent,4,0.5,0.75,0.7596036,0.38899082,ss-i
adiantheman,4,0.5,0.75,0.8571742,0.39184782,fx-m
aisselles,4,0.5,0.5,0.71266353,0.45110747,fx-v
anderperetx,4,0.5,0.5,0.86442715,0.48242816,ss-n
benji-the-bread,4,0.5,0.75,0.69856346,0.5849691,ss-n
chris5s,4,0.5,1.0,0.70518976,0.46251827,fx-a
danielk0104,4,0.5,1.0,0.8799255,0.38430515,fx-m
esoonchia,4,0.5,0.5,0.46999732,0.28959695,fx-o
jstarrcreative,4,0.5,0.75,0.4907765,0.2719589,fx-el
justanormalguyy312,4,0.5,0.5,0.727103,0.54177934,fx-o
locedo3137,4,0.5,0.75,0.77968144,0.52960205,fx-o
ocramrudiger,4,0.5,0.75,0.72295934,0.442685,fx-n
pbimal,4,0.5,0.5,0.8069874,0.46617442,m-si
philipquintonsound,4,0.5,0.5,0.76653475,0.46884328,ss-i
virabelo,4,0.5,0.75,0.74025553,0.4959426,ss-u
1vences,2,0.5,1.0,0.61659455,0.57125485,fx-a
6James,2,0.5,1.0,0.66614795,0.58354354,fx-o
ATBGD,2,0.5,0.5,0.76836026,0.47809854,m-si
Aksiny_SoundEditor,2,0.5,1.0,0.5228038,0.14723156,fx-a
AllenStacy,2,0.5,1.0,0.5749105,0.4319868,ss-u
Alphabond1,2,0.5,1.0,0.7494693,0.63575137,sp-s
Ambisonic-Studio,2,0.5,0.5,0.6601432,0.4946726,ss-u
Averagejoe25031,2,0.5,0.5,0.7150339,0.5021804,fx-a
Bakstad,2,0.5,0.5,0.859749,0.6269401,fx-v
Bangerloops,2,0.5,1.0,0.7720407,0.66640985,m-si
BelyiLotos,2,0.5,1.0,0.69814765,0.35348302,fx-h
BethanyW,2,0.5,1.0,0.69461447,0.39415306,sp-s
Bloofrzo,2,0.5,1.0,0.6016853,0.35285223,fx-o
ChaliceWell,2,0.5,0.5,0.8287729,0.35594395,fx-a
ChicaWrytes,2,0.5,1.0,0.91248846,0.5270969,fx-o
Cpfcfan10,2,0.5,0.5,0.90155935,0.44589055,ss-n
Cris_MarYan,2,0.5,0.5,0.6902536,0.48273084,fx-m
CuboRodante,2,0.5,0.5,0.837252,0.3475274,fx-o
Daftrio,2,0.5,1.0,0.73179644,0.33529162,fx-h
DamTheGreat,2,0.5,1.0,0.57617426,0.38742352,fx-m
